Address,Baths,Price,Rooms,Surface,Title
San Diego- Madrid,1 baño,119.000 €,3 dorm.,53 m,Piso en venta en Puente De Vallecas
Meco,2 baños,243.000 €,4 dorm.,162 m,Casa en venta en Meco
Meco,1 baño,128.000 €,3 dorm.,96 m,Piso en venta en Meco
Parque Oeste- Alcorcón,2 baños,366.000 €,3 dorm.,115 m,Piso en venta en Parque Oeste - Retamas - Ensanche Sur
Centro- Alcorcón,1 baño,209.000 €,3 dorm.,90 m,Piso en venta en Centro - Ondarreta - Torres Bellas
Pinar Del Rey- Madrid,1 baño,169.000 €,1 dorm.,60 m,Piso en venta en Hortaleza
Valdeavero,1 baño,169.900 €,3 dorm.,195 m,Casa en venta en Valdeavero
Carabanchel- Carabanchel Alto - Buena Vista- Madrid,2 baños,279.000 €,4 dorm.,118 m,Piso en venta en Calle de Ocaña
Ventas- Madrid,1 baño,79.900 €,1 dorm.,15 m,Piso en venta en Ciudad Lineal
Ventas- Madrid,1 baño,199.000 €,4 dorm.,82 m,Piso en venta en Ciudad Lineal
Arganzuela- Imperial- Madrid,2 baños,515.000 €,3 dorm.,116 m,Piso en venta en Calle Santa Casilda
Delicias - Embajadores- Madrid,1 baño,120.000 €,1 dorm.,31 m,Piso en venta en Arganzuela
Aluche- Madrid,2 baños,240.000 €,3 dorm.,102 m,Piso en venta en Latina
Peñagrande- Madrid,1 baño,199.000 €,2 dorm.,55 m,Piso en venta en Fuencarral
Reyes Catolicos- Alcalá De Henares,1 baño,133.700 €,3 dorm.,128 m,Piso en venta en Reyes Catolicos - Rinconada - Venecia
Bellas Vistas- Madrid,1 baño,225.000 €,3 dorm.,70 m,Piso en venta en Tetuán
Carrascal- Leganés,2 baños,305.000 €,4 dorm.,133 m,Piso en venta en Zarzaquemada - Carrascal
Carrascal- Leganés,2 baños,195.000 €,3 dorm.,134 m,Piso en venta en Zarzaquemada - Carrascal
Carrascal- Leganés,2 baños,249.000 €,4 dorm.,117 m,Piso en venta en Zarzaquemada - Carrascal
Escritores- Leganés,2 baños,216.000 €,2 dorm.,78 m,Piso en venta en Centro - Escritores
Imperial- Madrid,1 baño,107.000 €,1 dorm.,32 m,Piso en venta en Arganzuela
Soto- Móstoles,1 baño,132.000 €,2 dorm.,60 m,Piso en venta en Soto
Ventas- Madrid,1 baño,220.000 €,2 dorm.,81 m,Piso en venta en Ciudad Lineal
Madrid,1 baño,330.000 €,2 dorm.,60 m,Piso en venta en Chamberí
Las Aguilas - Cuatro Vientos- Madrid,1 baño,205.000 €,3 dorm.,80 m,Piso en venta en Latina
Lavapiés - Embajadores- Madrid,1 baño,198.000 €,2 dorm.,56 m,Piso en venta en Centro
Castilla- Madrid,2 baños,568.000 €,4 dorm.,137 m,Piso en venta en Chamartín
Castilla- Madrid,1 baño,300.000 €,2 dorm.,95 m,Piso en venta en Chamartín
Huertas - Cortes- Madrid,2 baños,719.000 €,2 dorm.,110 m,Piso en venta en Centro
Aluche- Madrid,1 baño,275.000 €,3 dorm.,101 m,Piso en venta en Latina
Almendrales - Pradolongo- Madrid,1 baño,110.000 €,3 dorm.,61 m,Piso en venta en Usera
Delicias - Embajadores- Madrid,2 baños,390.000 €,4 dorm.,120 m,Piso en venta en Arganzuela
Centro - Hospital- Móstoles,1 baño,172.000 €,3 dorm.,95 m,Piso en venta en Calle Carcavilla
Getafe,1 baño,139.990 €,3 dorm.,70 m,Piso en venta en Juan De La Cierva
Canillas- Madrid,1 baño,340.000 €,3 dorm.,89 m,Piso en venta en Hortaleza
Aluche- Madrid,2 baños,425.000 €,4 dorm.,127 m,Piso en venta en Latina
Peñagrande- Madrid,2 baños,449.900 €,4 dorm.,120 m,Piso en venta en Fuencarral
Aluche- Madrid,1 baño,129.000 €,3 dorm.,70 m,Piso en venta en Latina
Aluche- Madrid,3 baños,160.000 €,2 dorm.,75 m,Local comercial en venta en Latina
Aluche- Madrid,1 baño,169.000 €,3 dorm.,70 m,Piso en venta en Latina
Ensanche- Alcalá De Henares,2 baños,195.000 €,3 dorm.,131 m,Piso en venta en Chorrillo - Estación - Ensanche
Parla,1 baño,99.999 €,3 dorm.,104 m,Piso en venta en Parla
Peñagrande- Madrid,1 baño,270.000 €,1 dorm.,83 m,Piso en venta en Fuencarral
Las Aguilas - Cuatro Vientos- Madrid,1 baño,135.000 €,2 dorm.,60 m,Piso en venta en Latina
